file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00164_0032_98811_to_100769,སེམས་ཅན་ཀུན་གྱི་དོན་ལ་དམན།  ,sems can kun gyi don la dman/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00164_0032_98811_to_100769.wav,STT_AB,3,28,1.958,wav16k/STT_AB00164_0032_98811_to_100769.wav,སེམས་ཅན་ཀུན་གྱི་དོན་ལ་དམན།
STT_TT00761_0251_1622249_to_1624553,ཀུན་རྫོབ་ཟེར་ན། རྣམ་ཤེས་ལ་ཟེར་གོ་རེད།  ,kun rdzob zer na/_rnam shes la zer go red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00761_0251_1622249_to_1624553.wav,STT_TT,3,39,2.304,wav16k/STT_TT00761_0251_1622249_to_1624553.wav,ཀུན་རྫོབ་ཟེར་ན། རྣམ་ཤེས་ལ་ཟེར་གོ་རེད།
STT_NS_M0366_0290_2025156_to_2027768,ཨེ་ག་ལབ་དགོས་རེད། མཁས་པ་མེད་ནས་སོ་སོ་དངོས་གནས་ཁོ་རང་ད།  ,e ga lab dgos red/_mkhas pa med nas so so dngos gnas kho rang da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0366_0290_2025156_to_2027768.wav,STT_NS,3,56,2.612,wav16k/STT_NS_M0366_0290_2025156_to_2027768.wav,ཨག་ལབ་དགོས་རེད། ཁྱད་པར་མེད་ནས་སོ་སོ་དངོས་གནས་ཁོ་རང་ད།
STT_TT00761_0145_914001_to_918250,གཞན་སྟོང་པ་འདྲ་བོ་ཆ་བཞག་པ་ཡིན་ན། ང་རང་ཚོས་ཆད་ལྟའི་ནང་ལ་བླུགས་བཞག་པ་རེད།  ,gzhan stong pa 'dra bo cha bzhag pa yin na/_nga rang tshos chad lta'i nang la blugs bzhag pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00761_0145_914001_to_918250.wav,STT_TT,3,73,4.249,wav16k/STT_TT00761_0145_914001_to_918250.wav,གཞན་སྟོང་པ་འདྲ་བོ་ཆ་བཞག་པ་ཡིན་ན། ང་རང་ཚོའི་ཆད་ལྟའི་ནང་ལ་བླུགས་བཞག་པ་རེད།
STT_TT00759_0045_238779_to_242670,ལྟེ་བ་ལ་རྩ་འདབ་དྲུག་ཅུ་རྩ་བཞི་པའི་ལྟེ་བ་ལ། ཡི་གེ་ཨ་ཡིག་དམར་པོ།  ,lte ba la rtsa 'dab drug cu rtsa bzhi pa'i lte ba la/_yi ge a yig dmar po/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00759_0045_238779_to_242670.wav,STT_TT,3,64,3.891,wav16k/STT_TT00759_0045_238779_to_242670.wav,ལྟེ་བ་ལ། རྩ་འདབ་དྲུག་ཅུ་རྩ་བཞི་པའི་ལྟེ་བ་ལ། ཡི་གེ་ཨ་ཡིག་དམར་པོ།
STT_TT00760_0005_48796_to_53284,མཐའ་གཅིག་ཏུ་གོང་འོག་བསྡེབས་ནས་ཤེས་དགོས་ཡ་དེ་ཚོ་ཡང་འདི་ནས་ཐོན་ཁག་པོ་ཅིག ,mtha' gcig tu gong 'og bsdebs nas shes dgos ya de tsho yang 'di nas thon khag po cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00760_0005_48796_to_53284.wav,STT_TT,3,71,4.488,wav16k/STT_TT00760_0005_48796_to_53284.wav,མཐའ་གཅིག་ཏུ་གོང་འོག་བསྡེབས་ནས་ཤེས་དགོས་ཡ་དེ་ཚོ་ཡང་། དེ་ནས་ཐོན་ཁག་པོ་ཅིག
STT_TT00761_0761_4743694_to_4749358,དེ་ལྟ་བུའི་གཞན་སྟོང་དོན་དམ་པའི་བདེན་པ་འདི་ཡང་ཟེ། ད་གོང་དུ་བཤད་ཟིན་པའི་གཞན་སྟོང་དོན་དམ་པའི་བདེན་པ།  ,de lta bu'i gzhan stong don dam pa'i bden pa 'di yang ze/_da gong du bshad zin pa'i gzhan stong don dam pa'i bden pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00761_0761_4743694_to_4749358.wav,STT_TT,3,99,5.664,wav16k/STT_TT00761_0761_4743694_to_4749358.wav,དེ་ལྟ་བུའི་གཞན་སྟོང་དོན་དམ་པའི་བདེན་པ་འདི་ཡང་ཟེ། ད་གོང་དུ་བཤད་ཟིན་པའི་གཞན་སྟོང་དོན་དམ་པའི་བདེན་པ།
STT_TT00761_0700_4305059_to_4308739,དར་ཡུག་དར་ཡུག་ཆེན་པོའི་དཔེ་དང་བཅས་པའི་སྒོ་ནས། བདེ་གཤེགས་ཟེ་སྙིང་པོ་ལ།  ,dar yug dar yug chen po'i dpe dang bcas pa'i sgo nas/_bde gshegs ze snying po la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00761_0700_4305059_to_4308739.wav,STT_TT,3,71,3.68,wav16k/STT_TT00761_0700_4305059_to_4308739.wav,དར་ཡུག དར་ཡུག་ཆེན་པོའི་དཔེ་དང་བཅས་པའི་སྒོ་ནས་ བདེ་གཤེགས་ཟེ། སྙིང་པོད།
STT_TT00705_0087_520935_to_523015,དོན་ལ་རང་བཞིན་གྱིས་གྲུབ་པ་ཕྱི་རོལ་ལ།  ,don la rang bzhin gyis grub pa phyi rol la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00705_0087_520935_to_523015.wav,STT_TT,3,38,2.08,wav16k/STT_TT00705_0087_520935_to_523015.wav,དོན་ལ་རང་བཞིན་གྱིས་གྲུབ་པ་ཕྱི་རོལ་ལ།
STT_MV0903_0213_1346596_to_1353438,ག་རེ་བཤད་ཀི་ཡོད་ཨ། ཟ་ཡ་མང་ཐག་ཆོད་འདུག་གེ འདྲ་མ་འདྲ་བཤད་ཀིས། ཡ། ངའི་ཁོ་རྩེ་ར་ཞིག་གཡུགས་ཀ་བྱས།  ,ga re bshad ki yod a/_za ya mang thag chod 'dug ge_'dra ma 'dra bshad kis/_ya/_nga'i kho rtse ra zhig g.yugs ka byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0903_0213_1346596_to_1353438.wav,STT_MV,3,94,6.842,wav16k/STT_MV0903_0213_1346596_to_1353438.wav,ག་རེ་བཤད་ཀི་ཡོད་ཨ། ཟ་ཡ་མང་ཐག་ཆོད་འདུག་གེ འདྲ་མ་འདྲ་བཤད་ཀིས། ཡ། ངས་ཁོང་ཁྲོ་ར་ཞིག་གཡུག་ག་བྱས།
STT_MV0903_0220_1396555_to_1397707,ཁྱོད་རས་ད་ལྟ་བཟས་པ་དེ་གས་ ,khyod ras da lta bzas pa de gas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0903_0220_1396555_to_1397707.wav,STT_MV,3,26,1.152,wav16k/STT_MV0903_0220_1396555_to_1397707.wav,ཁྱོད་རས་ད་ལྟ་བཟས་པ་འདེག་གེ།
STT_TT00760_0449_2867912_to_2870920,ཀླུ་སྒྲུབ་སྙིང་པོའི་བཞེད་པ་ཡི། ཡང་དག་ལྟ་བ་ ,klu sgrub snying po'i bzhed pa yi/_yang dag lta ba _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00760_0449_2867912_to_2870920.wav,STT_TT,3,43,3.008,wav16k/STT_TT00760_0449_2867912_to_2870920.wav,ཀླུ་སྒྲུབ་སྙིང་པོའི་བཞེད་པ་ཡི། ཡང་དག་ལྟ་བ།
STT_AB00164_0066_206912_to_208583,མི་ཡི་ལུས་ཀྱང་འཐོབ་མི་འགྱུར།  ,mi yi lus kyang 'thob mi 'gyur/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00164_0066_206912_to_208583.wav,STT_AB,3,30,1.671,wav16k/STT_AB00164_0066_206912_to_208583.wav,མི་ཡི་ལུས་ཀྱང་ཐོབ་མི་འགྱུར།
STT_TT00761_0185_1199240_to_1205145,བདག་ནི་དཔལ་ལྡན་དུས་འཁོར་གྱི། སྲོལ་འཛིན་ཉམས་རྟོགས་མཐར་ཕྱིན་པའི། སྐྱེས་ཆེན་བརྒྱུད་པ་འདི་དག་ལ། ཡིད་ནི་ཤིན་ཏུ་དད་མོད་ཀྱི། ཟེར་ནས།  ,bdag ni dpal ldan dus 'khor gyi/_srol 'dzin nyams rtogs mthar phyin pa'i/_skyes chen brgyud pa 'di dag la/_yid ni shin tu dad mod kyi/_zer nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00761_0185_1199240_to_1205145.wav,STT_TT,3,127,5.905,wav16k/STT_TT00761_0185_1199240_to_1205145.wav,བདག་ནི་དཔལ་ལྡན་དུས་ཀུན་ཏས། སོམ་འཛིན་ཉམས་རྫོགས་མཐར་ཕྱིན་པས། སྐྱེན་ཆེན་བརྒྱུད་པ་འདི་དག་ལ། ཡིད་ནི་ཤིན་ཏུ་དད་མོད་ཀྱི། ཟེར་ན།
